24.073049, 120.699826 scho
24.074403, 120.700046 scho
24.153171, 120.646456 g111
24.153646, 120.646691 g111
24.119272, 120.647746 g111
24.118934, 120.647689 g115
24.109385, 120.620994 g119
24.110223, 120.614437 g119
24.110110, 120.615192 g119
24.136956, 120.686792 3300
24.137092, 120.686746 3300
24.137700, 120.686560 3300
24.119152, 120.648036 g115
24.118842, 120.647707 g115
24.110128, 120.614463 g119
24.110312, 120.614611 g119
24.110577, 120.615609 g119
22.686695, 120.307666 4340
22.686914, 120.307285 4340
24.110132, 120.614078 g119
24.167680, 120.653612 g109
24.167934, 120.653770 g109
24.073883, 120.700646 scho
24.119629, 120.648474 g115
24.137310, 120.686694 3300
24.137048, 120.687162 3300
24.119128, 120.647484 g115
24.119059, 120.647578 g115
